Konfiguracija 1:
0.95 0.48 0.83 1.78 0.72 0.1 1.62 0.42 0.2 1.59 1.76 3.79 1.84 0.7 0.06 0.16 1.87 1.97 van 
1.04 0.5 1.06 2.09 0.66 0.1 2.07 0.32 0.23 1.58 2.23 6.35 2.20 0.73 0.14 0.09 1.88 1.96 saab
0.97 0.43 0.73 1.73 0.65 0.06 1.53 0.42 0.19 1.43 1.76 3.61 1.72 0.66 0.13 0.01 2.00 2.04 bus 
0.96 0.55 1.03 2.01 0.65 0.09 2.04 0.32 0.23 1.66 2.27 6.24 2.46 0.74 0.06 0.02 1.86 1.94 opel

Konfiguracija 2:
0.84 0.37 0.53 1.21 0.59 0.05 1.23 0.55 0.17 1.25 1.41 2.21 1.33 0.82 0.07 0.01 1.79 1.83 van 
1.04 0.54 1.00 1.86 0.61 0.1 2.16 0.31 0.24 1.73 2.25 6.86 2.20 0.74 0.05 0.11 1.85 1.95 saab
0.99 0.41 0.77 1.97 0.69 0.06 1.77 0.36 0.21 1.39 2.02 4.85 1.51 0.72 0.04 0.1 1.98 1.99 bus 
1.01 0.56 1.00 2.15 0.69 0.1 2.08 0.32 0.24 1.69 2.27 6.51 2.23 0.74 0.06 0.05 1.86 1.93 opel

Konfiguracija 3: 
0.96 0.4 0.7 1.2 0.5 0.08 1.37 0.5 0.18 1.41 1.62 2.69 1.39 0.8 0.1 0.13 1.83 1.83 van 
0.91 0.39 0.83 1.70 0.6 0.08 1.72 0.38 0.21 1.34 1.97 4.45 1.52 0.72 0 0.1 1.88 1.94 saab
0.89 0.4 0.76 1.88 7.6 0.07 1.50 0.44 0.19 1.36 1.74 3.42 1.48 0.72 0.03 0.08 1.93 1.97 bus 
1.07 0.52 1.01 2.18 0.64 0.11 2.02 0.33 0.23 1.64 2.19 6.10 1.92 0.65 0.17 0.02 1.97 2.06 opel

Konfiguracija 4:
0.90 0.48 0.77 1.32 0.56 0.1 1.57 0.44 0.2 1.64 1.69 3.54 1.87 0.78 0.01 0.03 1.82 1.91 van 
0.88 0.45 0.82 1.55 0.56 0.08 1.54 0.43 0.19 1.49 1.80 3.57 1.70 0.69 0.03 0 1.88 1.93 saab
0.81 0.43 0.68 1.48 0.64 0.07 1.50 0.45 0.19 1.44 1.75 3.30 1.71 0.8 0.01 0.02 1.82 1.85 bus 
0.96 0.47 1.03 2.15 0.69 0.1 2.00 0.33 0.23 1.47 2.20 5.98 2.00 0.73 0.06 0.06 1.87 1.94 opel

Konfiguracija 5:
0.89 0.45 0.81 2.46 1.02 0.43 1.55 0.44 0.2 1.6 2 3.47 1.77 0.9 0.09 0.17 1.83 1.92 van 
1.16 0.53 0.11 2.31 0.67 0.12 2.17 0.31 0.24 1.65 2.31 6.92 2.22 0.67 0.16 0.28 1.92 2.06 saab
0.98 0.40 0.77 1.71 0.61 0.06 1.72 0.37 0.21 1.39 1.97 4.57 1.41 0.72 0.04 0.17 1.99 2.01 bus 
0.93 0.43 0.78 1.66 0.59 0.07 1.51 0.44 0.19 1.41 1.82 3.42 1.74 0.68 0.15 0.02 1.93 1.97 opel
