Grupa 1:
van 1.00
van 1.00
van 1.00
bus 0.96
van 1.00
van 0.99
van 1.00
saab 1.00
bus 1.00
van 1.00
bus 1.00
bus 0.99
bus 1.00
van 1.00
saab 1.00
van 1.00
saab 1.00
opel 1.00
van 1.00
bus 1.00
bus 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
saab 1.00
saab 0.63
van 1.00
van 1.00
bus 1.00
opel 1.00
bus 1.00
van 1.00
van 1.00
saab 1.00
bus 1.00
bus 1.00
opel 1.00
bus 1.00
van 1.00
van 1.00
bus 1.00
saab 1.00
bus 1.00
bus 1.00
van 1.00
opel 1.00
bus 1.00
van 1.00
van 1.00
opel 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
van 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
saab 1.00
van 1.00
van 0.99
van 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
van 1.00
opel 0.99
van 1.00
opel 1.00
saab 1.00
opel 1.00
saab 0.79
bus 1.00
van 1.00
van 1.00
bus 0.95
bus 1.00
bus 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
van 1.00
bus 1.00
van 1.00
bus 1.00
opel 0.99
van 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
bus 1.00
bus 1.00
bus 1.00
opel 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
van 1.00
bus 1.00
bus 1.00
opel 1.00
opel 1.00
van 1.00
opel 1.00
saab 1.00
van 1.00
bus 1.00
bus 1.00
opel 0.99
van 1.00
opel 1.00
van 1.00
bus 1.00
van 1.00
saab 0.97
bus 1.00
opel 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
bus 1.00
bus 1.00
van 0.98
opel 1.00
van 1.00
bus 1.00
opel 0.98
saab 1.00
bus 1.00
bus 1.00
opel 1.00
van 1.00
bus 1.00
bus 1.00
bus 1.00
saab 1.00
saab 1.00
bus 1.00
opel 1.00
van 1.00
saab 1.00
bus 1.00
van 1.00
opel 1.00
van 1.00
van 1.00
van 1.00
bus 1.00
bus 1.00
bus 1.00
van 0.94
van 1.00
van 1.00
opel 1.00
bus 1.00
bus 1.00
van 1.00
van 1.00
opel 1.00
van 1.00
bus 1.00
van 1.00
van 1.00
bus 1.00
opel 1.00
bus 1.00
bus 1.00
van 1.00
saab 1.00
opel 1.00
van 1.00
bus 1.00
van 1.00
opel 1.00
saab 1.00
van 1.00
saab 1.00
bus 1.00
van 1.00
bus 1.00
van 1.00
van 1.00
van 1.00
bus 1.00
bus 1.00
opel 1.00
bus 1.00
saab 0.97
bus 1.00
opel 1.00
bus 1.00
van 0.99
van 1.00
van 1.00
bus 1.00
van 1.00
opel 1.00
opel 1.00
bus 1.00
bus 1.00
saab 1.00
saab 1.00
van 1.00
van 1.00
opel 0.99
bus 1.00
van 1.00
opel 1.00
opel 1.00
van 1.00
saab 1.00
bus 1.00
bus 1.00
van 1.00
saab 0.99
bus 1.00
saab 1.00
bus 1.00
bus 1.00
van 1.00
opel 1.00
saab 1.00
saab 1.00
saab 1.00
bus 1.00
van 1.00
saab 0.79
van 1.00
saab 1.00
bus 1.00
van 1.00
van 0.83
bus 1.00
bus 1.00
saab 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
bus 1.00
van 1.00
bus 1.00
saab 1.00
bus 1.00
saab 0.99
opel 1.00
van 1.00
bus 1.00
van 1.00
saab 1.00
van 1.00
opel 1.00
van 1.00
saab 0.98
van 1.00
van 1.00
van 1.00
opel 1.00
van 1.00
saab 1.00
--
Grupa 2:
saab 0.99
bus 1.00
saab 1.00
saab 1.00
saab 1.00
saab 1.00
bus 1.00
opel 1.00
opel 1.00
opel 1.00
bus 1.00
bus 1.00
bus 1.00
saab 1.00
opel 1.00
saab 1.00
saab 1.00
opel 1.00
opel 1.00
opel 1.00
bus 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
bus 1.00
bus 1.00
saab 1.00
bus 1.00
saab 1.00
opel 1.00
bus 1.00
saab 1.00
bus 1.00
opel 1.00
bus 1.00
saab 1.00
bus 1.00
opel 1.00
opel 1.00
bus 1.00
saab 1.00
saab 1.00
saab 1.00
bus 1.00
saab 1.00
opel 1.00
bus 1.00
opel 1.00
opel 1.00
bus 1.00
saab 0.94
opel 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
saab 1.00
bus 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
bus 1.00
opel 1.00
saab 1.00
opel 1.00
saab 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
bus 1.00
opel 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
saab 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
opel 1.00
bus 1.00
saab 1.00
bus 1.00
saab 1.00
bus 1.00
saab 1.00
opel 1.00
saab 1.00
saab 1.00
saab 1.00
saab 1.00
saab 1.00
saab 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
opel 1.00
saab 1.00
saab 1.00
saab 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
saab 1.00
bus 1.00
saab 1.00
saab 1.00
saab 1.00
saab 1.00
opel 1.00
opel 1.00
saab 1.00
opel 1.00
saab 1.00
opel 1.00
opel 1.00
opel 1.00
saab 1.00
bus 1.00
saab 1.00
--
Grupa 3:
bus 1.00
van 1.00
van 1.00
saab 1.00
van 1.00
van 1.00
van 0.99
van 1.00
opel 1.00
van 1.00
opel 1.00
van 1.00
van 1.00
opel 1.00
bus 1.00
van 0.95
van 1.00
opel 1.00
saab 1.00
saab 1.00
bus 1.00
van 1.00
van 1.00
saab 1.00
van 1.00
opel 1.00
van 1.00
van 0.89
opel 1.00
saab 1.00
saab 1.00
van 1.00
van 1.00
saab 0.92
van 1.00
van 1.00
van 1.00
saab 1.00
saab 1.00
van 1.00
saab 1.00
opel 0.96
van 1.00
van 1.00
opel 1.00
van 1.00
van 1.00
van 1.00
van 1.00
opel 1.00
opel 1.00
van 1.00
van 1.00
van 1.00
van 1.00
van 1.00
bus 1.00
van 1.00
opel 1.00
van 1.00
opel 0.97
van 1.00
van 1.00
van 1.00
opel 1.00
saab 1.00
van 1.00
van 1.00
opel 1.00
van 1.00
van 1.00
van 1.00
van 1.00
van 1.00
van 1.00
van 1.00
van 1.00
opel 1.00
opel 1.00
bus 1.00
van 0.86
saab 1.00
van 1.00
--
Grupa 4:
saab 1.00
bus 1.00
opel 1.00
bus 1.00
opel 1.00
saab 0.99
bus 1.00
opel 0.96
opel 1.00
opel 1.00
saab 1.00
saab 1.00
opel 1.00
bus 1.00
saab 1.00
opel 0.98
opel 1.00
bus 1.00
bus 1.00
opel 1.00
opel 1.00
saab 1.00
bus 1.00
opel 1.00
saab 1.00
opel 1.00
bus 1.00
opel 1.00
bus 1.00
opel 1.00
bus 1.00
bus 0.99
saab 1.00
saab 1.00
saab 1.00
opel 1.00
saab 1.00
saab 1.00
bus 1.00
saab 0.99
opel 1.00
saab 1.00
saab 0.74
opel 1.00
saab 1.00
saab 0.99
bus 1.00
bus 1.00
opel 1.00
saab 1.00
opel 1.00
bus 1.00
saab 1.00
bus 1.00
bus 1.00
saab 0.91
opel 1.00
opel 0.94
saab 1.00
